riding,cname,party,votes,percent
Oak Bay-Gordon Head,Andrew John Weaver,BC Green Party,13843,0.5191
Oak Bay-Gordon Head,Jin Dong Yang-Riley,The Vancouver Island Party,62,0.0023
Oak Bay-Gordon Head,89 of 89 ballot boxes reported,26669,1,
Parksville-Qualicum,Terry Hand,BC Refed,236,0.0079
Parksville-Qualicum,Sue Powell,BC NDP,8476,0.2826
Parksville-Qualicum,Glenn Sollitt,BC Green Party,7671,0.2558
Parksville-Qualicum,Michelle Stilwell,BC Liberal Party,13605,0.4537
Parksville-Qualicum,115 of 115 ballot boxes reported,29988,1,
Peace River North,Dan Davies,BC Liberal Party,8542,0.663
Peace River North,Rob Dempsey,BC NDP,836,0.0649
Peace River North,Bob Fedderly,Independent,2489,0.1932
Peace River North,Rob Fraser,Independent,785,0.0609
Peace River North,Jeff Richert,Independent,231,0.0179
Peace River North,70 of 70 ballot boxes reported,12883,1,
Peace River South,Mike Bernier,BC Liberal Party,6180,0.7563
Peace River South,Stephanie Goudie,BC NDP,1991,0.2437
Peace River South,53 of 53 ballot boxes reported,8171,1,
Penticton,Dan Ashton,BC Liberal Party,13671,0.5355
Penticton,Connie Sahlmark,BC Green Party,4707,0.1844
Penticton,Tarik Sayeed,BC NDP,7150,0.2801
Penticton,119 of 119 ballot boxes reported,25528,1,
Port Coquitlam,Susan Chambers,BC Liberal Party,7101,0.3044
Port Coquitlam,Lewis Clarke Dahlby,Libertarian,231,0.0099
Port Coquitlam,Mike Farnworth,BC NDP,12937,0.5546
Port Coquitlam,Billy Gibbons,BC Cascadia Party,84,0.0036
Port Coquitlam,Jason Hanley,BC Green Party,2975,0.1275
Port Coquitlam,89 of 89 ballot boxes reported,23328,1,
Port Moody-Coquitlam,Don Barthel,BC Green Party,2692,0.1204
Port Moody-Coquitlam,Rick Glumac,BC NDP,10542,0.4716
Port Moody-Coquitlam,Linda Reimer,BC Liberal Party,9122,0.408
Port Moody-Coquitlam,82 of 82 ballot boxes reported,22356,1,
Powell River-Sunshine Coast,Kim Darwin,BC Green Party,5629,0.2411
Powell River-Sunshine Coast,Reuben Richards,BC Cascadia Party,152,0.0065
Powell River-Sunshine Coast,Nicholas Simons,BC NDP,11846,0.5075
Powell River-Sunshine Coast,Mathew Wilson,BC Liberal Party,5717,0.2449
Powell River-Sunshine Coast,98 of 98 ballot boxes reported,23344,1,
Prince George-Mackenzie,Hilary Crowley,BC Green Party,1880,0.1114
Prince George-Mackenzie,Bobby Deepak,BC NDP,5319,0.3152
Prince George-Mackenzie,Mike Morris,BC Liberal Party,9674,0.5733
Prince George-Mackenzie,75 of 75 ballot boxes reported,16873,1,
Prince George-Valemount,Shirley Bond,BC Liberal Party,10094,0.5869
Prince George-Valemount,Natalie Fletcher,BC NDP,5025,0.2922
Prince George-Valemount,Nan Kendy,BC Green Party,2080,0.1209
Prince George-Valemount,83 of 83 ballot boxes reported,17199,1,
Richmond North Centre,Lyren Chiu,BC NDP,4587,0.3337
Richmond North Centre,John Crocock,BC Action Party,109,0.0079
Richmond North Centre,Ryan Kemp Marciniw,BC Green Party,1457,0.106
Richmond North Centre,Dong Pan,Independent,301,0.0219
Richmond North Centre,Teresa Wat,BC Liberal Party,7292,0.5305
Richmond North Centre,68 of 68 ballot boxes reported,13746,1,
Richmond-Queensborough,Lawrence Chen,Republican Party,294,0.0163
Richmond-Queensborough,Kay Khilvinder Hale,BC Conservative Party,635,0.0352
Richmond-Queensborough,Jas Johal,BC Liberal Party,7525,0.4174
Richmond-Queensborough,Aman Singh,BC NDP,7262,0.4028
Richmond-Queensborough,Michael Wolfe,BC Green Party,2311,0.1282
Richmond-Queensborough,87 of 87 ballot boxes reported,18027,1,
Richmond South Centre,Chak Au,BC NDP,4893,0.394
Richmond South Centre,Greg Powell,BC Green Party,1368,0.1101
Richmond South Centre,Linda Reid,BC Liberal Party,6159,0.4959
Richmond South Centre,68 of 68 ballot boxes reported,12420,1,
Richmond-Steveston,Kelly Greene,BC NDP,7870,0.3898
Richmond-Steveston,Roy Sakata,BC Green Party,2614,0.1295
Richmond-Steveston,John Yap,BC Liberal Party,9706,0.4807
Richmond-Steveston,82 of 82 ballot boxes reported,20190,1,
Saanich North and the Islands,Gary Holman,BC NDP,9761,0.3034
Saanich North and the Islands,Adam Olsen,BC Green Party,13425,0.4173
Saanich North and the Islands,Stephen P. Roberts,BC Liberal Party,8654,0.269
Saanich North and the Islands,Jordan Templeman,Independent,333,0.0104
Saanich North and the Islands,113 of 113 ballot boxes reported,32173,1,
Saanich South,David Calder,BC Liberal Party,8113,0.3145
Saanich South,Andrew Paul McLean,Libertarian,158,0.0061
Saanich South,Mark Neufeld,BC Green Party,6497,0.2519
Saanich South,Richard Percival Pattee,The Vancouver Island Party,123,0.0048
Saanich South,Lana Popham,BC NDP,10904,0.4227
Saanich South,78 of 78 ballot boxes reported,25795,1,
Shuswap,Kevin Babcock,BC Green Party,3940,0.1552
Shuswap,Gregory James Kyllo,BC Liberal Party,14236,0.5609
Shuswap,Sylvia Jean Lindgren,BC NDP,6816,0.2686
Shuswap,Kyle McCormack,Libertarian,388,0.0153
Shuswap,104 of 104 ballot boxes reported,25380,1,
Skeena,Bruce Alan Bidgood,BC NDP,5089,0.4247
Skeena,Merv Ritchie,Land Air Water-The L.A.W.,524,0.0437
Skeena,Ellis Ross,BC Liberal Party,6370,0.5316
Skeena,55 of 55 ballot boxes reported,11983,1,
Stikine,Doug Donaldson,BC NDP,4370,0.5151
Stikine,Wanda Good,BC Liberal Party,3330,0.3925
Stikine,Rod Taylor,Christian Heritage Party of B.C.,784,0.0924
Stikine,47 of 47 ballot boxes reported,8484,1,
Surrey-Cloverdale,Marvin Hunt,BC Liberal Party,11171,0.4798
Surrey-Cloverdale,Aleksandra Muniak,BC Green Party,2871,0.1233
Surrey-Cloverdale,Peter Poelstra,Libertarian,263,0.0113
Surrey-Cloverdale,Rebecca Smith,BC NDP,8976,0.3856
Surrey-Cloverdale,97 of 97 ballot boxes reported,23281,1,
Surrey-Fleetwood,Tim Binnema,BC Green Party,2018,0.1083
Surrey-Fleetwood,Jagrup Brar,BC NDP,9951,0.5342
Surrey-Fleetwood,Peter Fassbender,BC Liberal Party,6659,0.3575
Surrey-Fleetwood,86 of 86 ballot boxes reported,18628,1,
Surrey-Green Timbers,Saira Aujla,BC Green Party,1017,0.0715
Surrey-Green Timbers,Vikram Bajwa,,155,0.0109
Surrey-Green Timbers,Brenda Joy Locke,BC Liberal Party,4711,0.3311
Surrey-Green Timbers,Kanwaljit Singh Moti,Your Political Party of BC (YPP),66,0.0046
Surrey-Green Timbers,Rachna Singh,BC NDP,8280,0.5819
Surrey-Green Timbers,59 of 59 ballot boxes reported,14229,1,
Surrey-Guildford,Garry Begg,BC NDP,8467,0.496
Surrey-Guildford,Jodi Murphy,BC Green Party,1675,0.0981
Surrey-Guildford,Kevin Pielak,Christian Heritage Party of B.C.,418,0.0245
Surrey-Guildford,Amrik Virk,BC Liberal Party,6510,0.3814
Surrey-Guildford,69 of 69 ballot boxes reported,17070,1,
Surrey-Newton,Harry Bains,BC NDP,8823,0.5737
Surrey-Newton,Balpreet Singh Bal,,881,0.0573
Surrey-Newton,Richard Krieger,BC Green Party,1073,0.0698
Surrey-Newton,Gurminder Singh Parihar,BC Liberal Party,4603,0.2993
Surrey-Newton,67 of 67 ballot boxes reported,15380,1,
Surrey-Panorama,Liz Galenzoski,BC Refed,117,0.0054
Surrey-Panorama,Veronica Laurel Greer,BC Green Party,1437,0.0666
Surrey-Panorama,Puneet Sandhar,BC Liberal Party,9126,0.4227
Surrey-Panorama,Jinny Sims,BC NDP,10910,0.5053
Surrey-Panorama,80 of 80 ballot boxes reported,21590,1,
Surrey South,Josh Barrett,Libertarian,272,0.0114
Surrey South,Stephanie Cadieux,BC Liberal Party,12346,0.5154
Surrey South,Gary Hee,Independent,125,0.0052
Surrey South,Peter Njenga,Independent,580,0.0242
Surrey South,Fabiola Cecilia Palomino,Your Political Party of BC (YPP),61,0.0025
Surrey South,Jonathan Silveira,BC NDP,7745,0.3233
Surrey South,Pascal Tremblay,BC Green Party,2826,0.118
Surrey South,104 of 104 ballot boxes reported,23955,1,
Surrey-Whalley,Sargy Chima,BC Liberal Party,4712,0.3036
Surrey-Whalley,Rita Anne Fromholt,BC Green Party,1665,0.1073
Surrey-Whalley,George Gidora,Communist Party of BC,85,0.0055
Surrey-Whalley,Bruce Ralston,BC NDP,9060,0.5837
Surrey-Whalley,77 of 77 ballot boxes reported,15522,1,
Surrey-White Rock,Tom Bryant,Independent,894,0.0341
Surrey-White Rock,Bill Marshall,BC Green Party,4189,0.1596
Surrey-White Rock,Niovi Patsicakis,BC NDP,7925,0.302
Surrey-White Rock,Tracy Redies,BC Liberal Party,13232,0.5043
Surrey-White Rock,107 of 107 ballot boxes reported,26240,1,
Vancouver-Fairview,Louise Boutin,BC Green Party,3453,0.1327
Vancouver-Fairview,Joey Doyle,Your Political Party of BC (YPP),131,0.005
Vancouver-Fairview,Gabe Garfinkel,BC Liberal Party,8482,0.3259
Vancouver-Fairview,George Heyman,BC NDP,13958,0.5364
Vancouver-Fairview,97 of 97 ballot boxes reported,26024,1,
Vancouver-False Creek,James Filippelli,Your Political Party of BC (YPP),96,0.0044
Vancouver-False Creek,Liz Jaluague,Libertarian,200,0.0091
Vancouver-False Creek,Morgane Oger,BC NDP,8772,0.4001
Vancouver-False Creek,Phillip James Ryan,BC Citizens First Party,75,0.0034
Vancouver-False Creek,Bradley Darren Shende,BC Green Party,3448,0.1573
Vancouver-False Creek,Sam Sullivan,BC Liberal Party,9332,0.4257
Vancouver-False Creek,93 of 93 ballot boxes reported,21923,1,
Vancouver-Fraserview,Suzanne Anton,BC Liberal Party,9171,0.4321
Vancouver-Fraserview,Harpreet S. Bajwa,Your Political Party of BC (YPP),156,0.0074
Vancouver-Fraserview,George Chow,BC NDP,10160,0.4787
Vancouver-Fraserview,Hiroshi Hyde,Libertarian,155,0.0073
Vancouver-Fraserview,Eric Kolotyluk,BC Green Party,1580,0.0745
Vancouver-Fraserview,91 of 91 ballot boxes reported,21222,1,
Vancouver-Hastings,Kimball Mark Cariou,Communist Party of BC,185,0.0088
Vancouver-Hastings,Shane Lee Simpson,BC NDP,12468,0.5936
Vancouver-Hastings,Jane Spitz,BC Liberal Party,4692,0.2234
Vancouver-Hastings,David H.T. Wong,BC Green Party,3660,0.1742
Vancouver-Hastings,88 of 88 ballot boxes reported,21005,1,
Vancouver-Kensington,Kim Jee Chan Logan,BC Liberal Party,6598,0.3316
Vancouver-Kensington,Ramanjit Kaur Dhillon,Your Political Party of BC (YPP),167,0.0084
Vancouver-Kensington,Mable Elmore,BC NDP,10916,0.5487
Vancouver-Kensington,Simon Alexander Rear,BC Green Party,2215,0.1113
Vancouver-Kensington,79 of 79 ballot boxes reported,19896,1,
Vancouver-Kingsway,Charles Bae,BC Conservative Party,446,0.0252
Vancouver-Kingsway,Ellisa Calder,BC Green Party,1645,0.0931
Vancouver-Kingsway,Adrian Dix,BC NDP,10620,0.6007
Vancouver-Kingsway,Brette Mullins,Your Political Party of BC (YPP),76,0.0043
Vancouver-Kingsway,Trang Nguyen,BC Liberal Party,4891,0.2767
Vancouver-Kingsway,91 of 91 ballot boxes reported,17678,1,
Vancouver-Langara,Janet Rhoda Fraser,BC Green Party,2582,0.1346
Vancouver-Langara,Michael Lee,BC Liberal Party,9235,0.4813
Vancouver-Langara,Surinder Singh Trehan,Your Political Party of BC (YPP),156,0.0081
Vancouver-Langara,James Wang,BC NDP,7215,0.376
Vancouver-Langara,82 of 82 ballot boxes reported,19188,1,
Vancouver-Mount Pleasant,Mike Hansen,Independent,195,0.0093
Vancouver-Mount Pleasant,Jerry Kroll,BC Green Party,3561,0.169
Vancouver-Mount Pleasant,Conny Lin,BC Liberal Party,3454,0.1639
Vancouver-Mount Pleasant,Peter Marcus,Communist Party of BC,127,0.006
Vancouver-Mount Pleasant,Melanie Mark,BC NDP,13667,0.6486
Vancouver-Mount Pleasant,Shai Joseph Mor,Your Political Party of BC (YPP),67,0.0032
Vancouver-Mount Pleasant,90 of 90 ballot boxes reported,21071,1,
Vancouver-Point Grey,David Robert Patrick Eby,BC NDP,12375,0.5529
Vancouver-Point Grey,Amanda Konkin,BC Green Party,2255,0.1008
Vancouver-Point Grey,James Lombardi,BC Liberal Party,7610,0.34
Vancouver-Point Grey,David Stall,Your Political Party of BC (YPP),60,0.0027
Vancouver-Point Grey,Brian Taylor,Independent,80,0.0036
Vancouver-Point Grey,86 of 86 ballot boxes reported,22380,1,
Vancouver-Quilchena,Michael Barkusky,BC Green Party,2974,0.1471
Vancouver-Quilchena,Madeline Lalonde,BC NDP,5525,0.2734
Vancouver-Quilchena,William Morrison,Libertarian,238,0.0118
Vancouver-Quilchena,Andrew Wilkinson,BC Liberal Party,11474,0.5677
Vancouver-Quilchena,79 of 79 ballot boxes reported,20211,1,
Vancouver-West End,Spencer Chandra Herbert,BC NDP,12195,0.6128
Vancouver-West End,John Clarke,Libertarian,322,0.0162
Vancouver-West End,Leon David Dunn,Independent,100,0.005
Vancouver-West End,Nigel Elliott,BC Liberal Party,4583,0.2303
Vancouver-West End,James Marshall,BC Green Party,2701,0.1357
Vancouver-West End,93 of 93 ballot boxes reported,19901,1,
Vernon-Monashee,Barry Charles Dorval,BC NDP,7588,0.2926
Vernon-Monashee,Eric Bailey Foster,BC Liberal Party,12473,0.481
Vernon-Monashee,Don Jefcoat,Libertarian,313,0.0121
Vernon-Monashee,Keli Westgate,BC Green Party,5557,0.2143
Vernon-Monashee,119 of 119 ballot boxes reported,25931,1,
Victoria-Beacon Hill,Karen Bill,BC Liberal Party,4296,0.1571
Victoria-Beacon Hill,Kalen Harris,BC Green Party,8274,0.3026
Victoria-Beacon Hill,Carole James,BC NDP,14476,0.5295
Victoria-Beacon Hill,Art Lowe,Libertarian,168,0.0061
Victoria-Beacon Hill,Jordan Reichert,Independent,94,0.0034
Victoria-Beacon Hill,David Shebib,Independent,32,0.0012
Victoria-Beacon Hill,104 of 104 ballot boxes reported,27340,1,
Victoria-Swan Lake,David Costigane,The Vancouver Island Party,181,0.0079
Victoria-Swan Lake,Rob Fleming,BC NDP,12181,0.5336
Victoria-Swan Lake,Christopher Alan Maxwell,BC Green Party,6826,0.299
Victoria-Swan Lake,Stacey Piercey,BC Liberal Party,3642,0.1595
Victoria-Swan Lake,88 of 88 ballot boxes reported,22830,1,
West Vancouver-Capilano,Michael Markwick,BC Green Party,4067,0.1922
West Vancouver-Capilano,Mehdi Russel,BC NDP,4874,0.2304
West Vancouver-Capilano,Ralph Sultan,BC Liberal Party,12215,0.5774
West Vancouver-Capilano,95 of 95 ballot boxes reported,21156,1,
West Vancouver-Sea to Sky,Michael Cambridge,Libertarian,168,0.0075
West Vancouver-Sea to Sky,Tristan Andrew Galbraith,Independent,135,0.006
West Vancouver-Sea to Sky,Michelle Livaja,BC NDP,6068,0.2701
West Vancouver-Sea to Sky,Jordan Sturdy,BC Liberal Party,9649,0.4295
West Vancouver-Sea to Sky,Dana Moore Taylor,BC Green Party,6447,0.287
West Vancouver-Sea to Sky,89 of 89 ballot boxes reported,22467,1,